IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IP_PROP6;IP_PROP7;CV_PRICE_1;CV_CURRENCY_1;CV_PRICE_2;CV_CURRENCY_2;CV_PRICE_3;CV_CURRENCY_3
372;Thomasville Lighting Guildhall Collection 3-Light Forged Black Foyer Pendant;;;color1;;;;;;
815;тест черный;;817;color1;100.00;RUB;;;;
816;тест золотой;;817;color3;110.00;RUB;;;;
1211;Алюминиевый радиатор Rifar Alum 350 4 секции красный;;1218;color5;6160.00;RUB;;;;
1212;Алюминиевый радиатор Rifar Alum 350 4 секции желтый;;1218;color15;6160.00;RUB;;;;
1213;Алюминиевый радиатор Rifar Alum 350 4 секции зеленый опалово ;;1218;color33;6160.00;RUB;;;;
1214;Алюминиевый радиатор Rifar Alum 350 4 секции рубиновый;;1218;color32;6160.00;RUB;;;;
1215;Алюминиевый радиатор Rifar Alum 350 4 секции серый;;1218;color10;6160.00;RUB;;;;
1216;Алюминиевый радиатор Rifar Alum 350 4 секции фиолетовый;;1218;color8;6160.00;RUB;;;;
1217;Алюминиевый радиатор Rifar Alum 350 4 секции синий;;1218;color6;6160.00;RUB;;;;
1221;Алюминиевый цветной радиатор Rifar Alum 350 6 секции красный;;1228;color5;9240.00;RUB;;;;
1222;Алюминиевый цветной радиатор Rifar Alum 350 6 секции желтый;;1228;color15;9240.00;RUB;;;;
1223;Алюминиевый цветной радиатор Rifar Alum 350 6 секции зеленый опалово;;1228;color33;9240.00;RUB;;;;
1224;Алюминиевый цветной радиатор Rifar Alum 350 6 секции рубиновый;;1228;color32;9240.00;RUB;;;;
1225;Алюминиевый цветной радиатор Rifar Alum 350 6 секции серый;;1228;color10;9240.00;RUB;;;;
1226;Алюминиевый цветной радиатор Rifar Alum 350 6 секции фиолетовый;;1228;color8;9240.00;RUB;;;;
1227;Алюминиевый цветной радиатор Rifar Alum 350 6 секции синий;;1228;color6;9240.00;RUB;;;;
1229;Алюминиевый цветной радиатор Rifar Alum 350 8 секции красный;;1236;color5;12320.00;RUB;;;;
1230;Алюминиевый цветной радиатор Rifar Alum 350 8 секции желтый;;1236;color15;12320.00;RUB;;;;
1231;Алюминиевый цветной радиатор Rifar Alum 350 8 секции зеленый опалово;;1236;color33;12320.00;RUB;;;;
1232;Алюминиевый цветной радиатор Rifar Alum 350 8 секции рубиновый;;1236;color32;12320.00;RUB;;;;
1233;Алюминиевый цветной радиатор Rifar Alum 350 8 секции серый;;1236;color10;12320.00;RUB;;;;
1234;Алюминиевый цветной радиатор Rifar Alum 350 8 секции фиолетовый;;1236;color8;12320.00;RUB;;;;
1235;Алюминиевый цветной радиатор Rifar Alum 350 8 секции синий;;1236;color6;12320.00;RUB;;;;
1237;Алюминиевый цветной радиатор Rifar Alum 350 10 секции красный;;1244;color5;15400.00;RUB;;;;
1238;Алюминиевый цветной радиатор Rifar Alum 350 10 секции желтый;;1244;color15;15400.00;RUB;;;;
1239;Алюминиевый цветной радиатор Rifar Alum 350 10 секции зеленый опалово;;1244;color33;15400.00;RUB;;;;
1240;Алюминиевый цветной радиатор Rifar Alum 350 10 секции рубиновый;;1244;color32;15400.00;RUB;;;;
1241;Алюминиевый цветной радиатор Rifar Alum 350 10 секции серый;;1244;color10;15400.00;RUB;;;;
1242;Алюминиевый цветной радиатор Rifar Alum 350 10 секции фиолетовый;;1244;color8;15400.00;RUB;;;;
1243;Алюминиевый цветной радиатор Rifar Alum 350 10 секции синий;;1244;color6;15400.00;RUB;;;;
1245;Алюминиевый цветной радиатор Rifar Alum 350 12 секции красный;;1252;color5;18480.00;RUB;;;;
1246;Алюминиевый цветной радиатор Rifar Alum 350 12 секции желтый;;1252;color15;18480.00;RUB;;;;
1247;Алюминиевый цветной радиатор Rifar Alum 350 12 секции зеленый опалово;;1252;color33;18480.00;RUB;;;;
1248;Алюминиевый цветной радиатор Rifar Alum 350 12 секции рубиновый;;1252;color32;18480.00;RUB;;;;
1249;Алюминиевый цветной радиатор Rifar Alum 350 12 секции серый;;1252;color10;18480.00;RUB;;;;
1250;Алюминиевый цветной радиатор Rifar Alum 350 12 секции фиолетовый;;1252;color8;18480.00;RUB;;;;
1251;Алюминиевый цветной радиатор Rifar Alum 350 12 секции синий;;1252;color6;18480.00;RUB;;;;
1253;Алюминиевый цветной радиатор Rifar Alum 350 14 секции красный;;1260;color5;21560.00;RUB;;;;
1254;Алюминиевый цветной радиатор Rifar Alum 350 14 секции желтый;;1260;color15;21560.00;RUB;;;;
1255;Алюминиевый цветной радиатор Rifar Alum 350 14 секции зеленый опалово;;1260;color33;21560.00;RUB;;;;
1256;Алюминиевый цветной радиатор Rifar Alum 350 14 секции рубиновый;;1260;color32;21560.00;RUB;;;;
1257;Алюминиевый цветной радиатор Rifar Alum 350 14 секции серый;;1260;color10;21560.00;RUB;;;;
1258;Алюминиевый цветной радиатор Rifar Alum 350 14 секции фиолетовый;;1260;color8;21560.00;RUB;;;;
1259;Алюминиевый цветной радиатор Rifar Alum 350 14 секции синий;;1260;color6;21560.00;RUB;;;;
1262;Алюминиевый цветной радиатор Rifar Alum 500 4 секции красный;;1269;color5;6200.00;RUB;;;;
1263;Алюминиевый цветной радиатор Rifar Alum 500 4 секции желтый;;1269;color15;6200.00;RUB;;;;
1264;Алюминиевый цветной радиатор Rifar Alum 500 4 секции зеленый опалово;;1269;color33;6200.00;RUB;;;;
1265;Алюминиевый цветной радиатор Rifar Alum 500 4 секции рубиновый;;1269;color32;6200.00;RUB;;;;
1266;Алюминиевый цветной радиатор Rifar Alum 500 4 секции серый;;1269;color10;6200.00;RUB;;;;
1267;Алюминиевый цветной радиатор Rifar Alum 500 4 секции фиолетовый;;1269;color8;6200.00;RUB;;;;
1268;Алюминиевый цветной радиатор Rifar Alum 500 4 секции синий;;1269;color6;6200.00;RUB;;;;
1270;Алюминиевый цветной радиатор Rifar Alum 500 6 секции красный;;1277;color5;9300.00;RUB;;;;
1271;Алюминиевый цветной радиатор Rifar Alum 500 6 секции желтый;;1277;color15;9300.00;RUB;;;;
1272;Алюминиевый цветной радиатор Rifar Alum 500 6 секции зеленый опалово;;1277;color33;9300.00;RUB;;;;
1273;Алюминиевый цветной радиатор Rifar Alum 500 6 секции рубиновый;;1277;color32;9300.00;RUB;;;;
1274;Алюминиевый цветной радиатор Rifar Alum 500 6 секции серый;;1277;color10;9300.00;RUB;;;;
1275;Алюминиевый цветной радиатор Rifar Alum 500 6 секции фиолетовый;;1277;color8;9300.00;RUB;;;;
1276;Алюминиевый цветной радиатор Rifar Alum 500 6 секции синий;;1277;color6;9300.00;RUB;;;;
1280;Алюминиевый цветной радиатор Rifar Alum 500 8 секции красный;;1287;color5;12400.00;RUB;;;;
1281;Алюминиевый цветной радиатор Rifar Alum 500 8 секции желтый;;1287;color15;12400.00;RUB;;;;
1282;Алюминиевый цветной радиатор Rifar Alum 500 8 секции зеленый опалово;;1287;color33;12400.00;RUB;;;;
1283;Алюминиевый цветной радиатор Rifar Alum 500 8 секции рубиновый;;1287;color32;12400.00;RUB;;;;
1284;Алюминиевый цветной радиатор Rifar Alum 500 8 секции серый;;1287;color10;12400.00;RUB;;;;
1285;Алюминиевый цветной радиатор Rifar Alum 500 8 секции фиолетовый;;1287;color8;12400.00;RUB;;;;
1286;Алюминиевый цветной радиатор Rifar Alum 500 8 секции синий;;1287;color6;12400.00;RUB;;;;
1288;Алюминиевый цветной радиатор Rifar Alum 500 10 секции красный;;1295;color5;15500.00;RUB;;;;
1289;Алюминиевый цветной радиатор Rifar Alum 500 10 секции желтый;;1295;color15;15500.00;RUB;;;;
1290;Алюминиевый цветной радиатор Rifar Alum 500 10 секции зеленый опалово;;1295;color33;15500.00;RUB;;;;
1291;Алюминиевый цветной радиатор Rifar Alum 500 10 секции рубиновый;;1295;color32;15500.00;RUB;;;;
1292;Алюминиевый цветной радиатор Rifar Alum 500 10 секции серый;;1295;color10;15500.00;RUB;;;;
1293;Алюминиевый цветной радиатор Rifar Alum 500 10 секции фиолетовый;;1295;color8;15500.00;RUB;;;;
1294;Алюминиевый цветной радиатор Rifar Alum 500 10 секции синий;;1295;color6;15500.00;RUB;;;;
1296;Алюминиевый цветной радиатор Rifar Alum 500 12 секции красный;;1297;color5;18600.00;RUB;;;;
1298;Алюминиевый цветной радиатор Rifar Alum 500 12 секции желтый;;1297;color15;18600.00;RUB;;;;
1299;Алюминиевый цветной радиатор Rifar Alum 500 12 секции зеленый опалово;;1297;color33;18600.00;RUB;;;;
1300;Алюминиевый цветной радиатор Rifar Alum 500 12 секции рубиновый;;1297;color32;18600.00;RUB;;;;
1301;Алюминиевый цветной радиатор Rifar Alum 500 12 секции серый;;1297;color10;18600.00;RUB;;;;
1302;Алюминиевый цветной радиатор Rifar Alum 500 12 секции фиолетовый;;1297;color8;18600.00;RUB;;;;
1303;Алюминиевый цветной радиатор Rifar Alum 500 12 секции синий;;1297;color6;18600.00;RUB;;;;
1304;Алюминиевый цветной радиатор Rifar Alum 500 14 секции красный;;1311;color5;21700.00;RUB;;;;
1305;Алюминиевый цветной радиатор Rifar Alum 500 14 секции зеленый опалово;;1311;color33;21700.00;RUB;;;;
1306;Алюминиевый цветной радиатор Rifar Alum 500 14 секции желтый;;1311;color15;21700.00;RUB;;;;
1307;Алюминиевый цветной радиатор Rifar Alum 500 14 секции рубиновый;;1311;color32;21700.00;RUB;;;;
