IE_XML_ID;IE_NAME;IP_PROP7;CV_PRICE_1;CV_CURRENCY_1;CV_PRICE_2;CV_CURRENCY_2;CV_PRICE_3;CV_CURRENCY_3
372;Thomasville Lighting Guildhall Collection 3-Light Forged Black Foyer Pendant;color1;;;;;;
815;тест черный;color1;100.00;RUB;;;;
816;тест золотой;color3;110.00;RUB;;;;
1211;Алюминиевый радиатор Rifar Alum 350 4 секции красный;color5;6160.00;RUB;;;;
1212;Алюминиевый радиатор Rifar Alum 350 4 секции желтый;color15;6160.00;RUB;;;;
1213;Алюминиевый радиатор Rifar Alum 350 4 секции зеленый опалово ;color33;6160.00;RUB;;;;
1214;Алюминиевый радиатор Rifar Alum 350 4 секции рубиновый;color32;6160.00;RUB;;;;
1215;Алюминиевый радиатор Rifar Alum 350 4 секции серый;color10;6160.00;RUB;;;;
1216;Алюминиевый радиатор Rifar Alum 350 4 секции фиолетовый;color8;6160.00;RUB;;;;
1217;Алюминиевый радиатор Rifar Alum 350 4 секции синий;color6;6160.00;RUB;;;;
1221;Алюминиевый цветной радиатор Rifar Alum 350 6 секции красный;color5;9240.00;RUB;;;;
1222;Алюминиевый цветной радиатор Rifar Alum 350 6 секции желтый;color15;9240.00;RUB;;;;
1223;Алюминиевый цветной радиатор Rifar Alum 350 6 секции зеленый опалово;color33;9240.00;RUB;;;;
1224;Алюминиевый цветной радиатор Rifar Alum 350 6 секции рубиновый;color32;9240.00;RUB;;;;
1225;Алюминиевый цветной радиатор Rifar Alum 350 6 секции серый;color10;9240.00;RUB;;;;
1226;Алюминиевый цветной радиатор Rifar Alum 350 6 секции фиолетовый;color8;9240.00;RUB;;;;
1227;Алюминиевый цветной радиатор Rifar Alum 350 6 секции синий;color6;9240.00;RUB;;;;
1229;Алюминиевый цветной радиатор Rifar Alum 350 8 секции красный;color5;12320.00;RUB;;;;
1230;Алюминиевый цветной радиатор Rifar Alum 350 8 секции желтый;color15;12320.00;RUB;;;;
1231;Алюминиевый цветной радиатор Rifar Alum 350 8 секции зеленый опалово;color33;12320.00;RUB;;;;
1232;Алюминиевый цветной радиатор Rifar Alum 350 8 секции рубиновый;color32;12320.00;RUB;;;;
1233;Алюминиевый цветной радиатор Rifar Alum 350 8 секции серый;color10;12320.00;RUB;;;;
1234;Алюминиевый цветной радиатор Rifar Alum 350 8 секции фиолетовый;color8;12320.00;RUB;;;;
1235;Алюминиевый цветной радиатор Rifar Alum 350 8 секции синий;color6;12320.00;RUB;;;;
1237;Алюминиевый цветной радиатор Rifar Alum 350 10 секции красный;color5;15400.00;RUB;;;;
1238;Алюминиевый цветной радиатор Rifar Alum 350 10 секции желтый;color15;15400.00;RUB;;;;
1239;Алюминиевый цветной радиатор Rifar Alum 350 10 секции зеленый опалово;color33;15400.00;RUB;;;;
1240;Алюминиевый цветной радиатор Rifar Alum 350 10 секции рубиновый;color32;15400.00;RUB;;;;
1241;Алюминиевый цветной радиатор Rifar Alum 350 10 секции серый;color10;15400.00;RUB;;;;
1242;Алюминиевый цветной радиатор Rifar Alum 350 10 секции фиолетовый;color8;15400.00;RUB;;;;
1243;Алюминиевый цветной радиатор Rifar Alum 350 10 секции синий;color6;15400.00;RUB;;;;
1245;Алюминиевый цветной радиатор Rifar Alum 350 12 секции красный;color5;18480.00;RUB;;;;
1246;Алюминиевый цветной радиатор Rifar Alum 350 12 секции желтый;color15;18480.00;RUB;;;;
1247;Алюминиевый цветной радиатор Rifar Alum 350 12 секции зеленый опалово;color33;18480.00;RUB;;;;
1248;Алюминиевый цветной радиатор Rifar Alum 350 12 секции рубиновый;color32;18480.00;RUB;;;;
1249;Алюминиевый цветной радиатор Rifar Alum 350 12 секции серый;color10;18480.00;RUB;;;;
1250;Алюминиевый цветной радиатор Rifar Alum 350 12 секции фиолетовый;color8;18480.00;RUB;;;;
1251;Алюминиевый цветной радиатор Rifar Alum 350 12 секции синий;color6;18480.00;RUB;;;;
1253;Алюминиевый цветной радиатор Rifar Alum 350 14 секции красный;color5;21560.00;RUB;;;;
1254;Алюминиевый цветной радиатор Rifar Alum 350 14 секции желтый;color15;21560.00;RUB;;;;
1255;Алюминиевый цветной радиатор Rifar Alum 350 14 секции зеленый опалово;color33;21560.00;RUB;;;;
1256;Алюминиевый цветной радиатор Rifar Alum 350 14 секции рубиновый;color32;21560.00;RUB;;;;
1257;Алюминиевый цветной радиатор Rifar Alum 350 14 секции серый;color10;21560.00;RUB;;;;
1258;Алюминиевый цветной радиатор Rifar Alum 350 14 секции фиолетовый;color8;21560.00;RUB;;;;
1259;Алюминиевый цветной радиатор Rifar Alum 350 14 секции синий;color6;21560.00;RUB;;;;
1262;Алюминиевый цветной радиатор Rifar Alum 500 4 секции красный;color5;6200.00;RUB;;;;
1263;Алюминиевый цветной радиатор Rifar Alum 500 4 секции желтый;color15;6200.00;RUB;;;;
1264;Алюминиевый цветной радиатор Rifar Alum 500 4 секции зеленый опалово;color33;6200.00;RUB;;;;
1265;Алюминиевый цветной радиатор Rifar Alum 500 4 секции рубиновый;color32;6200.00;RUB;;;;
1266;Алюминиевый цветной радиатор Rifar Alum 500 4 секции серый;color10;6200.00;RUB;;;;
1267;Алюминиевый цветной радиатор Rifar Alum 500 4 секции фиолетовый;color8;6200.00;RUB;;;;
1268;Алюминиевый цветной радиатор Rifar Alum 500 4 секции синий;color6;6200.00;RUB;;;;
1270;Алюминиевый цветной радиатор Rifar Alum 500 6 секции красный;color5;9300.00;RUB;;;;
1271;Алюминиевый цветной радиатор Rifar Alum 500 6 секции желтый;color15;9300.00;RUB;;;;
1272;Алюминиевый цветной радиатор Rifar Alum 500 6 секции зеленый опалово;color33;9300.00;RUB;;;;
1273;Алюминиевый цветной радиатор Rifar Alum 500 6 секции рубиновый;color32;9300.00;RUB;;;;
1274;Алюминиевый цветной радиатор Rifar Alum 500 6 секции серый;color10;9300.00;RUB;;;;
1275;Алюминиевый цветной радиатор Rifar Alum 500 6 секции фиолетовый;color8;9300.00;RUB;;;;
1276;Алюминиевый цветной радиатор Rifar Alum 500 6 секции синий;color6;9300.00;RUB;;;;
1280;Алюминиевый цветной радиатор Rifar Alum 500 8 секции красный;color5;12400.00;RUB;;;;
1281;Алюминиевый цветной радиатор Rifar Alum 500 8 секции желтый;color15;12400.00;RUB;;;;
1282;Алюминиевый цветной радиатор Rifar Alum 500 8 секции зеленый опалово;color33;12400.00;RUB;;;;
1283;Алюминиевый цветной радиатор Rifar Alum 500 8 секции рубиновый;color32;12400.00;RUB;;;;
1284;Алюминиевый цветной радиатор Rifar Alum 500 8 секции серый;color10;12400.00;RUB;;;;
1285;Алюминиевый цветной радиатор Rifar Alum 500 8 секции фиолетовый;color8;12400.00;RUB;;;;
1286;Алюминиевый цветной радиатор Rifar Alum 500 8 секции синий;color6;12400.00;RUB;;;;
